scenario,beta_hat
Exogenous treatment,1.007245228700336
Exogenous treatment,0.9798577471570715
Exogenous treatment,0.9973264263176368
Exogenous treatment,0.997843796703836
Exogenous treatment,1.0133579348844068
Exogenous treatment,0.987792665751887
Exogenous treatment,0.9620710622510489
Exogenous treatment,1.0365597702165217
Exogenous treatment,1.0068927454159815
Exogenous treatment,1.0110697915483788
Exogenous treatment,0.9952313381269038
Exogenous treatment,0.9704266720946864
Exogenous treatment,1.0041792019939342
Exogenous treatment,0.9814754689837042
Exogenous treatment,1.0152351592304318
Exogenous treatment,1.054378609719953
Exogenous treatment,0.9573009070286502
Exogenous treatment,0.9697472164069667
Exogenous treatment,0.9548797424225628
Exogenous treatment,0.9707379080627057
Exogenous treatment,0.9855423694716134
Exogenous treatment,1.0152332088277243
Exogenous treatment,1.0029998320684157
Exogenous treatment,0.9655320402015697
Exogenous treatment,1.0187678601684744
Exogenous treatment,0.9801027354932756
Exogenous treatment,0.9948394708184052
Exogenous treatment,0.958995720555877
Exogenous treatment,1.0035769885584254
Exogenous treatment,0.9998173544998518
Exogenous treatment,0.9870650276282054
Exogenous treatment,0.9415080355456826
Exogenous treatment,1.0165236597320852
Exogenous treatment,0.9742130452348506
Exogenous treatment,1.0376763307093044
Exogenous treatment,0.9821299483107084
Exogenous treatment,0.9971980913634655
Exogenous treatment,0.9983627109145552
Exogenous treatment,1.021856297756897
Exogenous treatment,1.0096404524419724
Exogenous treatment,0.9168385665638711
Exogenous treatment,0.9831043196130853
Exogenous treatment,0.9950709955855154
Exogenous treatment,0.9577095293222009
Exogenous treatment,1.059394165988894
Exogenous treatment,1.013279635567117
Exogenous treatment,1.0591193083725385
Exogenous treatment,1.003506695972587
Exogenous treatment,1.0083161344823581
Exogenous treatment,1.00876289082179
Exogenous treatment,1.0161839444172984
Exogenous treatment,1.0205775534315036
Exogenous treatment,1.0209289352694069
Exogenous treatment,1.0309452702091186
Exogenous treatment,0.9750390044715522
Exogenous treatment,0.992238698270694
Exogenous treatment,0.963555523638992
Exogenous treatment,0.997492811162709
Exogenous treatment,1.0258381526062879
Exogenous treatment,1.0126828152243115
Exogenous treatment,1.036491848400805
Exogenous treatment,0.9829163113213243
Exogenous treatment,1.0405060828891304
Exogenous treatment,1.0065972814707318
Exogenous treatment,1.017960312977881
Exogenous treatment,0.998992274597619
Exogenous treatment,0.9715659754158801
Exogenous treatment,1.0391570719081638
