Scenario,True beta,Mean estimate,Bias,RMSE,Mean SE,Coverage 95%
Exogenous treatment,1.0,1.0010169972972343,0.0010169972972342567,0.024945152282241652,0.026099345237225104,0.962
Treated post-trend,1.0,1.071661833572186,0.07166183357218592,0.07635192525307843,0.02611419672193898,0.214
Language-time shock,1.0,1.01890732055459,0.01890732055458999,0.032122545821414036,0.02611927709755642,0.894
Country-language absorption,1.0,1.1178134764896135,0.11781347648961349,0.12088312147534643,0.026141105901908396,0.01
