corr_input,tau,rho,cov_norm,theta_simplified,exact_gain_norm,relative_gap_pct
-0.8,0.51015,0.8429577236813154,-0.18024373638918348,0.430034882736023,0.3380835406170811,-27.197816832818692
-0.7000000000000001,0.51455,0.8444016800376022,-0.16345167176823316,0.43448688446334816,0.3503828267550038,-24.003475994316336
-0.6000000000000001,0.5113333333333333,0.8414412387907337,-0.14137335429159997,0.43025695343499515,0.357968044940557,-20.1942350766092
-0.5,0.5138,0.8494369344480018,-0.12056569414001378,0.43644069691938336,0.37449404327024427,-16.541425628080507
-0.4,0.5102,0.8500583501417917,-0.09565657956018556,0.4336997702423421,0.38489578335073543,-12.679792557543847
-0.30000000000000004,0.5120666666666667,0.8524819301243146,-0.07817318402910503,0.43652758035232403,0.39649769858382033,-10.095867368582292
-0.19999999999999996,0.5108833333333334,0.8438780826118227,-0.046216091492132495,0.43112324777167005,0.4075122168965311,-5.793944303057267
-0.09999999999999998,0.51255,0.8562658318100862,-0.027478072629890934,0.43887905209425965,0.4247951659678091,-3.315453483177781
0.0,0.5138166666666667,0.8582310036619683,-0.0024150586857817425,0.4409733935315803,0.4397324961278476,-0.2821937006383887
0.09999999999999998,0.5124,0.8589924450324748,0.037271358097660794,0.4401477288346401,0.4592455727238815,4.158525421588302
0.19999999999999996,0.51165,0.8594122178547062,0.053488318681681774,0.4397182612653605,0.467085559518843,5.859161709403789
0.30000000000000004,0.5143833333333333,0.8535936448298251,0.08807831086107411,0.4390743443397149,0.4843803594748037,9.353396406124414
0.40000000000000013,0.5122,0.8451657881043263,0.12014439756815554,0.4328939166670359,0.4944318771014452,12.446195984605422
0.5,0.5151166666666667,0.8476577685298914,0.15184939469592992,0.43664264419922255,0.514862798230341,15.192426856236764
0.6000000000000001,0.5116,0.8430267029434994,0.18072586391885267,0.4312924612258943,0.5237518132067793,17.65327577861419
0.7,0.5114333333333333,0.8564978800851234,0.22239978608877414,0.43804156580486825,0.5517842297368704,20.613612677231213
0.8,0.5135,0.8541477570884174,0.2657554997742951,0.4386048732649023,0.5750703223990028,23.730219386876357
