iso2_code,is_hardline,C,C#,C++,Go,Java,JavaScript,PHP,Python,Ruby,TypeScript,avg_weight
BY,True,0.05401668461451199,0.0516033796893582,0.04212403044115942,0.06843328256354397,0.051977194210563404,0.09374075308568126,0.03483580380869917,0.07609871862556565,0.08025724975596953,0.20461522768139756,0.075770232447645
TR,False,0.07548803993857403,0.06237769522407023,0.050522960045526574,0.16685221053516303,0.056108027955606994,0.08305800590177882,0.035057022263583204,0.04712243522512439,0.06525343280410914,0.0857033898766358,0.07275432197701723
RU,True,0.06357985770028594,0.052353030858266494,0.04774197198176082,0.1641221247344617,0.05333535674121082,0.06622601129419482,0.035148430355029965,0.07453040766841709,0.051509251992014504,0.10075026856841136,0.07092967118940535
VN,True,0.06604169801893464,0.03950074393641912,0.048829212857464215,0.11515447613955279,0.05001634181767584,0.10591377926839442,0.036406775680214776,0.04334302037342339,0.04136304478491222,0.13526075035052837,0.06818298432275198
UZ,False,0.04048698982284846,0.032675539497057725,0.036936718460034226,0.08574686634039487,0.03836542857776156,0.06862732772138497,0.03479826486939961,0.04282059344821297,0.03259234259707629,0.04948764027674051,0.04625377116109112
PR,False,0.06720693201927397,0.03127489319223354,0.03376420042629953,0.015248459414580551,0.037748128609628465,0.02550864035785822,0.03425353665283916,0.034573775755993436,0.07534615975791738,0.08188483706444097,0.04368095632510651
EG,False,0.05774396395159062,0.03579151757772946,0.04321189993157987,0.03783602765767715,0.038791539278264196,0.04892430092027467,0.0347399571221057,0.037455771993626784,0.034279588686715406,0.05349022235676302,0.04222647894763269
IR,True,0.031286988995920244,0.032340888311260634,0.03402847212538128,0.05514365388692984,0.03117462216087409,0.03194846195721826,0.03414065668190221,0.034996583770052915,0.03462010334214758,0.03127617595237602,0.035095660718406314
CM,False,0.0427914999294327,0.03133293398317387,0.03538439225757677,0.015256839702033283,0.033598670199817174,0.02854790609041628,0.034413639859642985,0.029507225686537172,0.03391507481325342,0.02992967341185196,0.03146778559337356
KH,False,0.03942538060546475,0.030042354889470654,0.037764646891180996,0.01526217671201468,0.031005817425435497,0.024846756379618425,0.03378992418318411,0.026844628989561012,0.031515034710327364,0.037115144692104654,0.03076118654783621
MO,False,0.02207798283641545,0.03127485313271929,0.030923031516326655,0.015263352866530133,0.03050185763038197,0.05051691920023117,0.03425344619123343,0.058528764423164,0.02523783755315169,0.005715519060220327,0.03042935644103741
VE,False,0.025966958434673424,0.03168749333777461,0.03286403969130373,0.015258402901968404,0.031347765731003646,0.03296114908015654,0.03413900934961314,0.028589805246555623,0.03411464391826645,0.02985580901135497,0.02967850767026705
RE,False,0.022077046189525065,0.031275125811187514,0.03092341262147549,0.015260547307349135,0.030500018588772652,0.060087151502484726,0.03580869467462024,0.03619504361071139,0.02523783755315169,0.0057079120640893335,0.029307278992336722
ZW,False,0.031206469993655776,0.031275956415462026,0.030922011009102086,0.015250695854462114,0.02996897420520142,0.019798018367004688,0.034071994508260636,0.02836364324219181,0.039100363212769586,0.0274320876514921,0.028739021445960224
BH,False,0.022084565825837513,0.03127653597605856,0.030922103409692536,0.015248660086313705,0.030501514699473584,0.04677469557658094,0.034255542356969856,0.04494981973565512,0.02523783755315169,0.0057059087554642025,0.02869571839751977
CU,True,0.027441665200557363,0.03695285894768967,0.03092277757738054,0.015260624909894023,0.032374480025851235,0.02072643309901296,0.03439572370065949,0.03530558531549415,0.02523783755315169,0.0272056271998546,0.028582361352954572
ET,False,0.055636353138012865,0.03165270827579055,0.033132525124116595,0.0089862856479389,0.03195533826869635,0.018524193566068912,0.03440459927373055,0.02982141664002217,0.025265621975088783,0.014682461594483857,0.028406150350394954
